,Brand,Price,Color,Weight,Material
0,StMichel,32, Golden,15,metal
1,Chilling,16, Black,11,plastic
2,Bristol,20, Matte Black,21,acetate
3,Dialogue,15, Aubergine,8,plastic
4,NottingHill,30, Blue Floral,18,acetate
5,Chillax,16, Tortoise,12,metal
6,Hepburn,40, Clear/White,18,acetate
7,Botanist,30, Gray Brown,15,acetate
8,Muse,16, Blue Floral,13,plastic
9,Mandi,33, Teal,19,acetate
10,Daydream,30, Brown Golden,12,metal
11,Ghostwriter,19, Matte Black,13,metal
12,Aura,70, Champagne,17,acetate
13,Morning,33, Tortoise,18,acetate
14,Inscription,29, Bronze,13,metal
15,Blizzard,29,  Black ,23,acetate
16,Prism,65, Translucent,16,acetate
17,Albee,19, Black Bronze,15,metal
18,Wistful,32, Coffee,11,metal
19,PaloAlto,33, Silver,13,metal
20,Candela,59, Blue Floral,21,acetate
21,Dublin,19, Matte Black,18,metal
22,Her,42, Black,19,acetate
23,Discover,29, Bronze,19,metal
24,Lightworks,25, Pink Floral,17,metal
25,Ledger,32, Golden,14,metal
26,Annabel,52, Pink,20,acetate
27,Sequence,70, Amber Tortoise,16,acetate
28,Hubris,25, Black Floral,10,plastic
29,Comity,35, Light Green,18,acetate
30,Milo,9, Matte Black,11,plastic
31,November,9, Matte Black,11,plastic
32,Days,9, Matte Floral,10,plastic
33,Versus,9, Matte Black,10,plastic
34,Bandon,6, Black,12,plastic
35,Firefly,9, Brown ,10,plastic
36,Glider,9, Black,10,plastic
37,Daphne,16, White,15,plastic
38,Drums,6,  Red ,10,plastic
39,Furox,19, Gunmetal,13,metal
40,Madras,9, Black,9,plastic
41,Naomi,15, Black,10,metal
42,InstantCrush,15, Red,14,plastic
43,Structure,9, Black,8,plastic
44,Delaware,9, Matte Burgundy,12,plastic
45,Yokote,22, Matte Black,17,metal
46,Chistopol,9, Black,13,metal
47,Danny,9,  Black/White ,12,plastic
48,Portrait,15, Black Tortoise,10,plastic
49,Beads,9, Matte Gray,11,plastic
50,Character,15, Black Tortoise,13,plastic
51,Escape,32, Matte Pink,18,acetate
52,Apollo,6, Matte Gray,13,plastic
53,Dutchess,9, Matte Black,10,plastic
54,Coexist,22, Tortoise,17,metal
55,Soul,9, Black,10,plastic
56,Robbie,6, Black/White,12,plastic
57,Jasmine,35, Black,16,acetate
58,BrightSide,9, Brown Tortoise,10,plastic
59,Central,9, Matte Black,14,plastic
